;** RIFORNIMENTI DA DEPOSITI AL: 05/10/2017 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da TRI;(in pallet);in arrivo (PZ);da PAR;(in pallet);in arrivo (PZ);Mancante
014662;TEXACO HAV ULTRA S 5W30 LT.4  ;          6;         0;         6;         1;         0;         0;         1;         0;          0
016143;TEXACO HAV SUPER 2T-X LT.1    ;         21;         0;        21;         1;         0;         0;         1;         0;          0
015211;TEXACO HAV ULTRA R 5W30 LT. 4 ;          5;         0;         5;         1;         0;         0;         1;         0;          0
013438;TEXACO TEXTRAN HD 10W LT. 20  ;          2;         0;         2;         1;         0;         0;         1;         0;          0
014640;TEXACO HAV ENERGY 0W20 LT.1   ;         17;         0;        17;         1;         0;         0;         1;         0;          0
008839;TEXACO CAPELLA WF 68 LT.20    ;          1;         0;         1;         1;         0;         0;         1;         0;          0
008886;TEXACO MULTIFAK EP 2 KG. 0,400;         42;         0;        42;         1;         0;         0;         1;         0;          0
011545;TEXACO ETX 10310 LT.1         ;          3;         0;         3;         1;         0;         0;         1;         0;          0
008742;TEXACO HAV ENERGY 5W30 LT. 5  ;          4;         0;         4;         1;         0;         0;         1;         0;          0
011936;TEXACO BROCH PROD RISP CARBURA;         92;         0;        80;         1;         0;         0;         1;         0;         12
010136;CEPSA AVANT 20W50 LT.4        ;          5;         0;         5;         1;         0;         0;         1;         0;          0
009132;CEPSA TR. EP 80W90 LT.20      ;          1;         0;         1;         1;         0;         0;         1;         0;          0
014425;TEXACO MEROPA SYN EP 320 LT.20;          1;         0;         1;         1;         0;         0;         1;         0;          0
008724;TEXACO BRAKE FLUID DOT 4 LT.1 ;         14;         0;        14;         1;         0;         0;         1;         0;          0
008895;TEXACO RANDO HD 100 LT.20     ;          1;         0;         1;         1;         0;         0;         1;         0;          0
009946;CEPSA AVANT 20W50 LT 1        ;         15;         0;        15;         1;         0;         0;         1;         0;          0
010131;CEPSA AVANT 15W40 LT.5        ;          3;         0;         3;         1;         0;         0;         1;         0;          0
009173;CEPSA MOTO 4T R 5W40 LT.1     ;         12;         0;        12;         1;         0;         0;         1;         0;          0
014644;TEXACO HAV ENERGY 0W30 LT.1   ;          8;         0;         8;         1;         0;         0;         1;         0;          0
009128;CEPSA XTAR 5W20 HYBRID LT.5   ;          2;         0;         2;         1;         0;         0;         1;         0;          0
009187;CEPSA MOTO 2T TODO USO LT.1   ;         12;         0;        12;         1;         0;         0;         1;         0;          0
009503;TEXACO TARGA HAVOLINE         ;          5;         0;         5;         1;         0;         0;         1;         0;          0
008774;TEXACO HAV XLC CONCENT LT. 1  ;         12;         0;        12;         1;         0;         0;         1;         0;          0
008775;TEXACO HAV XLC 50/50 LT. 1    ;         15;         0;        15;         1;         0;         0;         1;         0;          0
009170;CEPSA MOTO 4T R.66 10W50 LT.1 ;          9;         0;         9;         1;         0;         0;         1;         0;          0
016037;SPARCO BATTERIA KK55          ;          1;         0;         1;         1;         0;         0;         1;         0;          0
